"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","351","n/e","n/e","195","0","n/e","n/e","n/e","n/e","214","970","475","139","n/e","n/e","30","n/e","0","n/e","25","2446"
"BZN|PT","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","360","n/e","n/e","182","0","n/e","n/e","n/e","n/e","26","1422","536","175","n/e","n/e","30","n/e","0","n/e","25","2529"
"BZN|PT","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","365","n/e","n/e","182","0","n/e","n/e","n/e","n/e","0","1730","448","143","n/e","n/e","29","n/e","0","n/e","25","2603"
"BZN|PT","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","363","n/e","n/e","181","0","n/e","n/e","n/e","n/e","0","2134","357","142","n/e","n/e","29","n/e","0","n/e","25","2890"
"BZN|PT","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","366","n/e","n/e","181","0","n/e","n/e","n/e","n/e","0","2350","242","142","n/e","n/e","30","n/e","0","n/e","25","3312"
"BZN|PT","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","364","n/e","n/e","181","0","n/e","n/e","n/e","n/e","2","2267","257","85","n/e","n/e","29","n/e","0","n/e","25","3437"
"BZN|PT","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","360","n/e","n/e","181","0","n/e","n/e","n/e","n/e","150","2006","176","142","n/e","n/e","28","n/e","0","n/e","25","3342"
"BZN|PT","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","367","n/e","n/e","189","0","n/e","n/e","n/e","n/e","144","2059","246","177","n/e","n/e","30","n/e","0","n/e","25","3538"
"BZN|PT","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","367","n/e","n/e","219","0","n/e","n/e","n/e","n/e","707","618","667","189","n/e","n/e","30","n/e","1","n/e","25","3714"
"BZN|PT","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","362","n/e","n/e","225","0","n/e","n/e","n/e","n/e","1033","253","699","228","n/e","n/e","30","n/e","97","n/e","25","3666"
"BZN|PT","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","355","n/e","n/e","228","0","n/e","n/e","n/e","n/e","823","457","551","143","n/e","n/e","29","n/e","372","n/e","25","3688"
"BZN|PT","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","358","n/e","n/e","224","0","n/e","n/e","n/e","n/e","430","829","301","130","n/e","n/e","29","n/e","693","n/e","25","3770"
"BZN|PT","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","359","n/e","n/e","224","0","n/e","n/e","n/e","n/e","6","2059","479","142","n/e","n/e","30","n/e","834","n/e","25","4017"
"BZN|PT","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","362","n/e","n/e","224","0","n/e","n/e","n/e","n/e","200","1972","517","142","n/e","n/e","30","n/e","773","n/e","25","4120"
"BZN|PT","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","364","n/e","n/e","226","0","n/e","n/e","n/e","n/e","117","1922","522","142","n/e","n/e","30","n/e","670","n/e","25","4206"
"BZN|PT","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","362","n/e","n/e","225","0","n/e","n/e","n/e","n/e","127","1575","601","142","n/e","n/e","29","n/e","490","n/e","25","4274"
"BZN|PT","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","353","n/e","n/e","225","0","n/e","n/e","n/e","n/e","97","1346","591","143","n/e","n/e","28","n/e","329","n/e","25","4239"
"BZN|PT","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","358","n/e","n/e","225","0","n/e","n/e","n/e","n/e","390","666","940","212","n/e","n/e","28","n/e","118","n/e","25","4154"
"BZN|PT","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","355","n/e","n/e","224","0","n/e","n/e","n/e","n/e","742","13","1048","232","n/e","n/e","28","n/e","4","n/e","23","3992"
"BZN|PT","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","353","n/e","n/e","221","0","n/e","n/e","n/e","n/e","1576","1","1310","337","n/e","n/e","30","n/e","0","n/e","13","3782"
"BZN|PT","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","357","n/e","n/e","219","0","n/e","n/e","n/e","n/e","882","37","1311","217","n/e","n/e","31","n/e","0","n/e","12","3654"
"BZN|PT","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","358","n/e","n/e","220","0","n/e","n/e","n/e","n/e","656","585","1035","226","n/e","n/e","32","n/e","0","n/e","8","3678"
"BZN|PT","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","360","n/e","n/e","219","0","n/e","n/e","n/e","n/e","644","915","866","220","n/e","n/e","32","n/e","0","n/e","5","3541"
"BZN|PT","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","360","n/e","n/e","219","0","n/e","n/e","n/e","n/e","829","1352","736","391","n/e","n/e","33","n/e","0","n/e","5","3395"
"BZN|PT","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","357","n/e","n/e","211","0","n/e","n/e","n/e","n/e","388","1021","456","256","n/e","n/e","32","n/e","0","n/e","3","3107"
"BZN|PT","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","362","n/e","n/e","184","0","n/e","n/e","n/e","n/e","250","1459","437","163","n/e","n/e","32","n/e","0","n/e","4","2845"
"BZN|PT","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","360","n/e","n/e","178","0","n/e","n/e","n/e","n/e","169","1773","381","164","n/e","n/e","31","n/e","0","n/e","5","2897"
"BZN|PT","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","361","n/e","n/e","178","0","n/e","n/e","n/e","n/e","161","2030","386","163","n/e","n/e","32","n/e","0","n/e","3","2884"
"BZN|PT","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","362","n/e","n/e","176","0","n/e","n/e","n/e","n/e","194","2301","398","167","n/e","n/e","31","n/e","0","n/e","1","2928"
"BZN|PT","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","354","n/e","n/e","187","0","n/e","n/e","n/e","n/e","205","2157","398","167","n/e","n/e","30","n/e","0","n/e","0","2751"
"BZN|PT","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","356","n/e","n/e","171","0","n/e","n/e","n/e","n/e","447","1014","481","167","n/e","n/e","29","n/e","0","n/e","0","2208"
"BZN|PT","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","354","n/e","n/e","180","0","n/e","n/e","n/e","n/e","451","299","525","177","n/e","n/e","29","n/e","0","n/e","0","2082"
"BZN|PT","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","355","n/e","n/e","221","0","n/e","n/e","n/e","n/e","1404","2","857","213","n/e","n/e","30","n/e","1","n/e","1","1930"
"BZN|PT","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","364","n/e","n/e","247","0","n/e","n/e","n/e","n/e","1781","1","911","715","n/e","n/e","29","n/e","43","n/e","0","1601"
"BZN|PT","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","350","n/e","n/e","249","0","n/e","n/e","n/e","n/e","1599","1","975","641","n/e","n/e","28","n/e","132","n/e","0","1119"
"BZN|PT","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","340","n/e","n/e","250","0","n/e","n/e","n/e","n/e","1125","2","966","783","n/e","n/e","29","n/e","242","n/e","0","886"
"BZN|PT","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","329","n/e","n/e","252","0","n/e","n/e","n/e","n/e","1245","2","881","784","n/e","n/e","29","n/e","306","n/e","1","971"
"BZN|PT","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","334","n/e","n/e","272","0","n/e","n/e","n/e","n/e","1250","2","839","774","n/e","n/e","29","n/e","337","n/e","1","891"
"BZN|PT","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","335","n/e","n/e","298","0","n/e","n/e","n/e","n/e","1253","2","851","782","n/e","n/e","29","n/e","299","n/e","0","780"
"BZN|PT","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","338","n/e","n/e","488","0","n/e","n/e","n/e","n/e","1169","3","813","559","n/e","n/e","29","n/e","216","n/e","0","729"
"BZN|PT","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","351","n/e","n/e","623","0","n/e","n/e","n/e","n/e","1652","1","876","578","n/e","n/e","29","n/e","130","n/e","1","480"
"BZN|PT","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","357","n/e","n/e","808","0","n/e","n/e","n/e","n/e","1684","1","1371","590","n/e","n/e","31","n/e","32","n/e","0","364"
"BZN|PT","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","354","n/e","n/e","1279","0","n/e","n/e","n/e","n/e","2207","3","1163","831","n/e","n/e","31","n/e","1","n/e","0","356"
"BZN|PT","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","359","n/e","n/e","1427","0","n/e","n/e","n/e","n/e","2452","3","1578","888","n/e","n/e","31","n/e","0","n/e","0","355"
"BZN|PT","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","354","n/e","n/e","1387","0","n/e","n/e","n/e","n/e","2128","3","1959","836","n/e","n/e","32","n/e","0","n/e","0","338"
"BZN|PT","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","356","n/e","n/e","1390","0","n/e","n/e","n/e","n/e","1883","3","1928","819","n/e","n/e","32","n/e","0","n/e","5","398"
"BZN|PT","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","370","n/e","n/e","1275","0","n/e","n/e","n/e","n/e","1229","56","1946","494","n/e","n/e","33","n/e","0","n/e","3","519"
"BZN|PT","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","372","n/e","n/e","701","0","n/e","n/e","n/e","n/e","383","4","1504","507","n/e","n/e","32","n/e","0","n/e","7","791"
"BZN|PT","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","370","n/e","n/e","535","0","n/e","n/e","n/e","n/e","323","75","1150","342","n/e","n/e","31","n/e","0","n/e","14","994"
"BZN|PT","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","375","n/e","n/e","424","0","n/e","n/e","n/e","n/e","88","346","977","311","n/e","n/e","32","n/e","0","n/e","12","1099"
"BZN|PT","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","369","n/e","n/e","414","0","n/e","n/e","n/e","n/e","5","469","817","306","n/e","n/e","30","n/e","0","n/e","11","1199"
"BZN|PT","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","366","n/e","n/e","403","0","n/e","n/e","n/e","n/e","0","752","765","301","n/e","n/e","30","n/e","0","n/e","11","1308"
"BZN|PT","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","362","n/e","n/e","403","0","n/e","n/e","n/e","n/e","0","809","1028","303","n/e","n/e","29","n/e","0","n/e","17","1339"
"BZN|PT","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","360","n/e","n/e","386","0","n/e","n/e","n/e","n/e","0","534","1204","310","n/e","n/e","30","n/e","0","n/e","17","1290"
"BZN|PT","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","359","n/e","n/e","460","0","n/e","n/e","n/e","n/e","385","14","1200","310","n/e","n/e","29","n/e","0","n/e","12","1258"
"BZN|PT","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","363","n/e","n/e","495","0","n/e","n/e","n/e","n/e","1243","4","1550","640","n/e","n/e","29","n/e","0","n/e","14","1204"
"BZN|PT","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","364","n/e","n/e","623","0","n/e","n/e","n/e","n/e","2406","3","1845","739","n/e","n/e","29","n/e","0","n/e","17","1062"
"BZN|PT","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","363","n/e","n/e","896","0","n/e","n/e","n/e","n/e","2582","1","2224","943","n/e","n/e","29","n/e","55","n/e","10","1034"
"BZN|PT","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","365","n/e","n/e","940","0","n/e","n/e","n/e","n/e","1631","2","1989","583","n/e","n/e","28","n/e","147","n/e","6","1091"
"BZN|PT","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","371","n/e","n/e","943","0","n/e","n/e","n/e","n/e","1380","3","1688","555","n/e","n/e","30","n/e","326","n/e","7","1014"
"BZN|PT","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","371","n/e","n/e","945","0","n/e","n/e","n/e","n/e","1485","2","1604","947","n/e","n/e","29","n/e","433","n/e","7","996"
"BZN|PT","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","368","n/e","n/e","837","0","n/e","n/e","n/e","n/e","1086","3","1508","947","n/e","n/e","30","n/e","473","n/e","12","1181"
"BZN|PT","04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST)","358","n/e","n/e","913","0","n/e","n/e","n/e","n/e","1509","2","1677","810","n/e","n/e","31","n/e","573","n/e","5","1658"
"BZN|PT","04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST)","349","n/e","n/e","994","0","n/e","n/e","n/e","n/e","2418","1","1842","1075","n/e","n/e","31","n/e","582","n/e","10","1977"
"BZN|PT","04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST)","365","n/e","n/e","1054","0","n/e","n/e","n/e","n/e","2326","1","1828","1141","n/e","n/e","30","n/e","507","n/e","11","2181"
"BZN|PT","04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST)","367","n/e","n/e","1173","0","n/e","n/e","n/e","n/e","2151","3","1830","1100","n/e","n/e","29","n/e","216","n/e","10","2560"
"BZN|PT","04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST)","367","n/e","n/e","1203","0","n/e","n/e","n/e","n/e","1946","3","2213","682","n/e","n/e","30","n/e","10","n/e","10","2724"
"BZN|PT","04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST)","369","n/e","n/e","1267","0","n/e","n/e","n/e","n/e","2107","1","2308","681","n/e","n/e","31","n/e","0","n/e","8","2722"
"BZN|PT","04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST)","365","n/e","n/e","1308","0","n/e","n/e","n/e","n/e","1911","2","2236","729","n/e","n/e","30","n/e","0","n/e","2","2841"
"BZN|PT","04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST)","368","n/e","n/e","1277","0","n/e","n/e","n/e","n/e","2247","1","2122","717","n/e","n/e","30","n/e","0","n/e","13","2908"
"BZN|PT","04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST)","363","n/e","n/e","968","0","n/e","n/e","n/e","n/e","1725","1","1723","774","n/e","n/e","30","n/e","0","n/e","4","3085"
"BZN|PT","04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST)","367","n/e","n/e","769","0","n/e","n/e","n/e","n/e","422","453","1679","552","n/e","n/e","31","n/e","0","n/e","7","3200"
"BZN|PT","05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST)","363","n/e","n/e","603","0","n/e","n/e","n/e","n/e","467","132","1738","469","n/e","n/e","31","n/e","0","n/e","1","2871"
"BZN|PT","05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST)","368","n/e","n/e","234","0","n/e","n/e","n/e","n/e","271","187","1735","396","n/e","n/e","29","n/e","0","n/e","0","2606"
"BZN|PT","05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST)","367","n/e","n/e","203","0","n/e","n/e","n/e","n/e","179","4","1672","238","n/e","n/e","30","n/e","0","n/e","6","2119"
"BZN|PT","05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST)","368","n/e","n/e","202","0","n/e","n/e","n/e","n/e","116","317","1180","203","n/e","n/e","31","n/e","0","n/e","7","2174"
"BZN|PT","05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST)","369","n/e","n/e","210","0","n/e","n/e","n/e","n/e","73","591","1110","208","n/e","n/e","31","n/e","0","n/e","1","2047"
"BZN|PT","05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST)","370","n/e","n/e","215","0","n/e","n/e","n/e","n/e","217","27","1169","189","n/e","n/e","30","n/e","0","n/e","6","2143"
"BZN|PT","05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST)","365","n/e","n/e","216","0","n/e","n/e","n/e","n/e","696","13","1242","280","n/e","n/e","30","n/e","0","n/e","10","2328"
"BZN|PT","05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST)","368","n/e","n/e","214","0","n/e","n/e","n/e","n/e","2185","8","1668","659","n/e","n/e","30","n/e","0","n/e","9","2655"
"BZN|PT","05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST)","371","n/e","n/e","258","0","n/e","n/e","n/e","n/e","2788","3","2040","737","n/e","n/e","30","n/e","2","n/e","1","2892"
"BZN|PT","05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST)","379","n/e","n/e","300","0","n/e","n/e","n/e","n/e","2546","1","1990","782","n/e","n/e","30","n/e","194","n/e","1","2873"
"BZN|PT","05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST)","369","n/e","n/e","337","0","n/e","n/e","n/e","n/e","1017","14","1512","466","n/e","n/e","31","n/e","806","n/e","3","2641"
"BZN|PT","05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST)","363","n/e","n/e","324","0","n/e","n/e","n/e","n/e","122","641","883","212","n/e","n/e","32","n/e","1251","n/e","6","2533"
"BZN|PT","05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST)","366","n/e","n/e","321","0","n/e","n/e","n/e","n/e","95","1429","730","176","n/e","n/e","31","n/e","1380","n/e","11","2883"
"BZN|PT","05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST)","361","n/e","n/e","322","0","n/e","n/e","n/e","n/e","50","1358","679","177","n/e","n/e","31","n/e","1330","n/e","5","2988"
"BZN|PT","05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST)","361","n/e","n/e","323","0","n/e","n/e","n/e","n/e","67","2003","585","189","n/e","n/e","30","n/e","1280","n/e","5","3118"
"BZN|PT","05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST)","368","n/e","n/e","324","0","n/e","n/e","n/e","n/e","121","1284","536","187","n/e","n/e","29","n/e","1045","n/e","20","3026"
"BZN|PT","05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST)","348","n/e","n/e","324","0","n/e","n/e","n/e","n/e","190","1106","588","201","n/e","n/e","30","n/e","683","n/e","17","2932"
"BZN|PT","05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST)","342","n/e","n/e","328","0","n/e","n/e","n/e","n/e","691","26","627","400","n/e","n/e","29","n/e","287","n/e","19","2730"
"BZN|PT","05.01.2024 18:00 - 05.01.2024 19:00 (CET/CEST)","363","n/e","n/e","328","0","n/e","n/e","n/e","n/e","1214","2","1384","491","n/e","n/e","30","n/e","9","n/e","15","2670"
"BZN|PT","05.01.2024 19:00 - 05.01.2024 20:00 (CET/CEST)","369","n/e","n/e","324","0","n/e","n/e","n/e","n/e","1603","2","1668","496","n/e","n/e","31","n/e","0","n/e","15","2794"
"BZN|PT","05.01.2024 20:00 - 05.01.2024 21:00 (CET/CEST)","375","n/e","n/e","332","0","n/e","n/e","n/e","n/e","1753","2","1110","522","n/e","n/e","30","n/e","0","n/e","9","2631"
"BZN|PT","05.01.2024 21:00 - 05.01.2024 22:00 (CET/CEST)","375","n/e","n/e","330","0","n/e","n/e","n/e","n/e","1931","1","1213","469","n/e","n/e","32","n/e","0","n/e","10","2368"
"BZN|PT","05.01.2024 22:00 - 05.01.2024 23:00 (CET/CEST)","370","n/e","n/e","299","0","n/e","n/e","n/e","n/e","1333","2","1349","404","n/e","n/e","32","n/e","0","n/e","4","2080"
"BZN|PT","05.01.2024 23:00 - 06.01.2024 00:00 (CET/CEST)","369","n/e","n/e","289","0","n/e","n/e","n/e","n/e","858","3","984","444","n/e","n/e","30","n/e","0","n/e","4","1807"
"BZN|PT","06.01.2024 00:00 - 06.01.2024 01:00 (CET/CEST)","343","n/e","n/e","290","0","n/e","n/e","n/e","n/e","261","227","983","470","n/e","n/e","30","n/e","0","n/e","2","1648"
"BZN|PT","06.01.2024 01:00 - 06.01.2024 02:00 (CET/CEST)","341","n/e","n/e","235","0","n/e","n/e","n/e","n/e","206","656","840","239","n/e","n/e","28","n/e","0","n/e","0","1605"
"BZN|PT","06.01.2024 02:00 - 06.01.2024 03:00 (CET/CEST)","347","n/e","n/e","235","0","n/e","n/e","n/e","n/e","0","828","907","191","n/e","n/e","29","n/e","0","n/e","0","1586"
