"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","352","n/e","n/e","298","0","n/e","n/e","n/e","n/e","2279","153","1737","1304","n/e","n/e","25","n/e","0","n/e","7","2182"
"BZN|PT","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","350","n/e","n/e","180","0","n/e","n/e","n/e","n/e","1910","243","1716","1315","n/e","n/e","25","n/e","0","n/e","6","2362"
"BZN|PT","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","352","n/e","n/e","141","0","n/e","n/e","n/e","n/e","1611","291","1694","1358","n/e","n/e","24","n/e","0","n/e","3","2042"
"BZN|PT","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","352","n/e","n/e","134","0","n/e","n/e","n/e","n/e","890","404","1908","889","n/e","n/e","24","n/e","0","n/e","3","1500"
"BZN|PT","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","344","n/e","n/e","134","0","n/e","n/e","n/e","n/e","850","404","1468","892","n/e","n/e","25","n/e","0","n/e","4","1078"
"BZN|PT","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","344","n/e","n/e","135","0","n/e","n/e","n/e","n/e","722","382","1278","941","n/e","n/e","24","n/e","0","n/e","2","850"
"BZN|PT","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","351","n/e","n/e","136","0","n/e","n/e","n/e","n/e","810","336","1153","913","n/e","n/e","24","n/e","0","n/e","3","808"
"BZN|PT","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","346","n/e","n/e","197","0","n/e","n/e","n/e","n/e","904","404","1199","889","n/e","n/e","20","n/e","0","n/e","1","890"
"BZN|PT","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","345","n/e","n/e","380","0","n/e","n/e","n/e","n/e","840","389","1397","834","n/e","n/e","22","n/e","0","n/e","2","941"
"BZN|PT","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","350","n/e","n/e","798","0","n/e","n/e","n/e","n/e","890","84","1484","934","n/e","n/e","23","n/e","0","n/e","1","914"
"BZN|PT","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","354","n/e","n/e","1071","0","n/e","n/e","n/e","n/e","845","165","1579","1014","n/e","n/e","23","n/e","0","n/e","0","885"
"BZN|PT","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","347","n/e","n/e","1259","0","n/e","n/e","n/e","n/e","1462","61","1820","1169","n/e","n/e","24","n/e","1","n/e","0","697"
"BZN|PT","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","338","n/e","n/e","1369","0","n/e","n/e","n/e","n/e","1648","60","2052","1314","n/e","n/e","24","n/e","107","n/e","1","552"
"BZN|PT","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","334","n/e","n/e","1552","0","n/e","n/e","n/e","n/e","1631","62","2043","1295","n/e","n/e","23","n/e","366","n/e","1","345"
"BZN|PT","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","339","n/e","n/e","1622","0","n/e","n/e","n/e","n/e","1387","243","1929","1274","n/e","n/e","21","n/e","591","n/e","2","227"
"BZN|PT","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","341","n/e","n/e","1403","0","n/e","n/e","n/e","n/e","1434","289","2085","1280","n/e","n/e","23","n/e","838","n/e","1","233"
"BZN|PT","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","346","n/e","n/e","1387","0","n/e","n/e","n/e","n/e","1454","298","2104","1256","n/e","n/e","23","n/e","981","n/e","0","256"
"BZN|PT","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","353","n/e","n/e","1409","0","n/e","n/e","n/e","n/e","1455","345","2090","1308","n/e","n/e","26","n/e","915","n/e","0","215"
"BZN|PT","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","347","n/e","n/e","1413","0","n/e","n/e","n/e","n/e","1451","244","2081","1301","n/e","n/e","25","n/e","826","n/e","0","190"
"BZN|PT","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","349","n/e","n/e","1483","0","n/e","n/e","n/e","n/e","1520","59","2066","1334","n/e","n/e","26","n/e","623","n/e","0","238"
"BZN|PT","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","345","n/e","n/e","1491","0","n/e","n/e","n/e","n/e","1904","1","2184","1316","n/e","n/e","26","n/e","238","n/e","0","259"
"BZN|PT","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","342","n/e","n/e","1570","0","n/e","n/e","n/e","n/e","1872","1","2238","1279","n/e","n/e","24","n/e","9","n/e","0","337"
"BZN|PT","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","348","n/e","n/e","1566","0","n/e","n/e","n/e","n/e","2014","1","2241","1267","n/e","n/e","24","n/e","0","n/e","0","372"
"BZN|PT","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","348","n/e","n/e","1573","0","n/e","n/e","n/e","n/e","1961","1","2084","1294","n/e","n/e","25","n/e","0","n/e","0","344"
"BZN|PT","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","353","n/e","n/e","1571","0","n/e","n/e","n/e","n/e","1818","1","2087","1289","n/e","n/e","26","n/e","0","n/e","0","370"
"BZN|PT","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","353","n/e","n/e","1555","0","n/e","n/e","n/e","n/e","1641","1","2089","1288","n/e","n/e","26","n/e","0","n/e","0","391"
